"id","city_id","name","slug"
"1447","28566","Mayor and Council","mayor-and-council"
"1448","28566","Planning & Development Services","planning-development-services"
"1449","28566","Police","police-107"
"1450","28566","Public Works","public-works-125"
"1451","28566","Water","water-1"
"1452","28520","City Attorney","city-attorney-48"
"1453","28520","City Manager","city-manager-92"
"1454","28520","Community Development","community-development-84"
"1455","28520","Finance","finance-89"
"1456","28520","Fire","fire-70"
"1457","28520","Library","library-31"
"1458","28520","Parks & Community Services","parks-community-services-2"
"1459","28520","Police","police-108"
"1460","28520","Public Works","public-works-126"
"1461","28866","Administrative Services","administrative-services-41"
"1462","28866","City Clerk","city-clerk-73"
"1463","28866","City Manager","city-manager-93"
"1464","28866","Community Development","community-development-85"
"1465","28866","Engineering","engineering-9"
"1466","28866","Fire","fire-71"
"1467","28866","Human Resources","human-resources-66"
"1468","28866","Police","police-109"
"1469","28866","Public Works","public-works-127"
"1470","28866","Recreation ","recreation-20"
"1471","28866","Transit","transit-1"
"1472","28866","Wastewater ","wastewater"
"1473","28866","Water","water-2"
"1474","28533","City Manager","city-manager-94"
"1475","28533","Community Development","community-development-86"
"1476","28533","Finance","finance-90"
"1477","28533","Fire","fire-72"
"1478","28533","Human Resources","human-resources-67"
"1479","28533","Parks & Recreation","parks-recreation-14"
"1480","28533","Police","police-110"
"1481","28533","Public Works","public-works-128"
"1482","28555","City Clerk","city-clerk-74"
"1483","28555","City Manager","city-manager-95"
"1484","28555","Community Development","community-development-87"
"1485","28555","Finance","finance-91"
"1486","28555","Fire","fire-73"
"1487","28555","Police","police-111"
"1488","28555","Public Works","public-works-129"
"1489","28563","Administrative Services","administrative-services-42"
"1490","28563","City Clerk","city-clerk-75"
"1491","28563","City Manager","city-manager-96"
"1492","28563","Development Services","development-services-18"
"1493","28563","Fire","fire-74"
"1494","28563","Police","police-112"
"1495","28563","Public Works","public-works-130"
"1496","28563","Recreation, Parks and Marina","recreation-parks-and-marina"
"1497","28514","City Clerk","city-clerk-76"
"1498","28514","City Manager","city-manager-97"
"1499","28514","Community Development","community-development-88"
"1500","28514","Finance","finance-92"
"1501","28514","Non-Departmental","non-departmental"
"1502","28514","Parks and Recreation","parks-and-recreation-14"
"1503","28514","Police","police-113"
"1504","28514","Public Works","public-works-131"
"1505","28514","Wastewater","wastewater-1"
"1506","28514","Water","water-3"
"1507","28525","City Clerk","city-clerk-77"
"1508","28525","City Manager","city-manager-98"
"1509","28525","Financial Services","financial-services-2"
"1510","28525","Fire Services","fire-services-3"
"1511","28525","Planning and Building Services","planning-and-building-services-1"
"1512","28525","Police Services","police-services-5"
"1513","28525","Public Works ","public-works-132"
"1514","28525","Recreation Services","recreation-services-2"
"1515","28544","City Attorney","city-attorney-49"
"1516","28544","City Clerk","city-clerk-78"
"1517","28544","City Manager","city-manager-99"
"1518","28544","Community Development","community-development-89"
"1519","28544","Finance","finance-93"
"1520","28544","Fire","fire-75"
"1521","28544","Human Resources","human-resources-68"
"1522","28544","Information Technology","information-technology-42"
"1523","28544","Parks and Recreation","parks-and-recreation-15"
"1524","28544","Police","police-114"
"1525","28544","Public Works","public-works-133"
"1526","28544","Utilities","utilities-7"
"1527","29882","City Clerk","city-clerk-79"
"1528","29882","City Manager","city-manager-100"
"1529","29882","Finance","finance-94"
"1530","29882","Fire","fire-76"
"1531","29882","Human Resources and Information Technology","human-resources-and-information-technology"
"1532","29882","Library","library-32"
"1533","29882","Parks and Recreation","parks-and-recreation-16"
"1534","29882","Planning and Community Improvement","planning-and-community-improvement"
"1535","29882","Police","police-115"
"1536","29882","Public Works","public-works-134"
"1537","28568","Finance","finance-95"
"1538","28568","Parks and Recreation","parks-and-recreation-17"
"1539","28568","Planning and Building","planning-and-building-4"
"1540","28568","Public Works","public-works-135"
"1541","28568","Town Clerk","town-clerk"
"1542","28568","Town Manager","town-manager-3"
"1543","28501","Multi-Departmental","multi-departmental-3"
"1544","29872","Finance & Administration","finance-administration"
